Month,Year,TotalAttendances,MajorAE_Attendances,SingleSpecialty_Attendances,MinorInjuryUnit_Attendances,TotalAdmissions,Breach12hr,PercentWithin4hrs,MajorInjuryPerformancePct,SingleSpecialityPerformancePct,MinorInjuryPerformancePct,AdmissionRate,Breach12hrRate,MajorAE_SharePct,SingleSpecialty_SharePct,MinorInjuryUnit_SharePct,Season,SeasonalBaselineAvg,RiskFlag,MonthSin,MonthCos,MajorShare_x_Winter,Attendances_Lag1,Attendances_RollingMean3
2011-06-01,2011,1785417.2857142866,1168467.857142857,54739.428571428565,562209.9999999998,413320.8571428575,9.571428571428573,97.1,95.6,99.7,99.9,23.15,0.001,65.45,3.07,31.49,Summer,,N/A - not enough prior years yet,1.2246467991473532e-16,-1.0,0.0,1873695.142857144,1834495.7619047624
2011-07-01,2011,1864959.428571428,1211065.8571428566,56203.71428571431,597689.8571428569,425797.8571428571,5.8571428571428585,97.6,96.4,99.6,99.9,22.83,0.0,64.94,3.01,32.05,Summer,,N/A - not enough prior years yet,-0.4999999999999997,-0.8660254037844388,0.0,1785417.2857142866,1841357.2857142861
2011-08-01,2011,1758108.2857142854,1135801.4285714286,51890.28571428572,570416.5714285715,410554.28571428586,0.9999999999999998,97.4,96.1,99.8,99.9,23.35,0.0,64.6,2.95,32.44,Summer,1752381.0,Low,-0.8660254037844385,-0.5000000000000004,0.0,1864959.428571428,1802828.3333333333
2011-09-01,2011,1781210.5714285718,1162142.857142857,52329.285714285696,566738.4285714285,410760.8571428571,9.285714285714286,96.9,95.3,99.7,99.9,23.06,0.001,65.24,2.94,31.82,Autumn,1756268.0,Low,-1.0,-1.8369701987210297e-16,0.0,1758108.2857142854,1801426.0952380951
2011-10-01,2011,1848912.4285714284,1200707.8571428573,54447.28571428574,593757.2857142858,435080.1428571428,41.57142857142856,96.6,94.9,99.6,99.9,23.53,0.002,64.94,2.94,32.11,Autumn,1801348.0,Low,-0.8660254037844386,0.5000000000000001,0.0,1781210.5714285718,1796077.0952380951
2011-11-01,2011,1741440.8571428573,1134959.4285714277,51772.42857142857,554709.0000000001,424886.99999999977,28.14285714285715,96.6,94.9,99.7,99.9,24.4,0.002,65.17,2.97,31.85,Autumn,1651027.4285714284,Medium,-0.5000000000000004,0.8660254037844384,0.0,1848912.4285714284,1790521.2857142857
2011-12-01,2011,1732045.8571428566,1141606.4285714282,47960.857142857145,542478.5714285712,441655.2857142858,3.999999999999999,95.8,93.7,99.8,99.8,25.5,0.0,65.91,2.77,31.32,Winter,1737741.1428571432,Low,-2.4492935982947064e-16,1.0,65.91,1741440.8571428573,1774133.0476190473
2012-01-01,2012,1737518.0,1137915.5714285711,51607.14285714283,547995.2857142857,436198.8571428573,8.000000000000002,95.8,93.6,99.9,99.9,25.1,0.0,65.49,2.97,31.54,Winter,1727796.7142857143,Low,0.49999999999999994,0.8660254037844387,65.49,1732045.8571428566,1737001.5714285716
2012-02-01,2012,1704231.714285714,1120423.0000000002,51155.57142857144,532653.1428571428,420552.5714285715,6.000000000000001,95.0,92.5,99.8,99.8,24.68,0.0,65.74,3.0,31.25,Winter,1599364.000000001,Medium,0.8660254037844386,0.5000000000000001,65.74,1737518.0,1724598.5238095236
2012-03-01,2012,1933152.8571428568,1263082.2857142864,58574.28571428571,611496.2857142857,454396.0,0.9999999999999998,96.5,94.8,99.6,99.8,23.51,0.0,65.34,3.03,31.63,Spring,1863441.0,Medium,1.0,6.123233995736766e-17,0.0,1704231.714285714,1791634.1904761903
2012-04-01,2012,1769523.2857142854,1149633.714285714,51689.285714285725,568200.2857142856,424128.85714285733,0.0,96.4,94.5,99.7,99.8,23.97,0.0,64.97,2.92,32.11,Spring,1844374.8571428566,Low,0.8660254037844387,-0.4999999999999998,0.0,1933152.8571428568,1802302.6190476187
2012-05-01,2012,1929570.4285714282,1251414.285714286,56416.7142857143,621739.4285714289,443877.4285714286,0.0,96.8,95.2,99.8,99.8,23.0,0.0,64.85,2.92,32.22,Spring,1873695.142857144,Low,0.49999999999999994,-0.8660254037844387,0.0,1769523.2857142854,1877415.5238095236
2012-06-01,2012,1887841.2857142857,1222084.2857142854,53957.000000000015,611800.0000000001,426005.7142857141,1.8571428571428565,96.7,95.1,99.6,99.9,22.57,0.0,64.73,2.86,32.41,Summer,1785417.2857142866,Medium,1.2246467991473532e-16,-1.0,0.0,1929570.4285714282,1862311.6666666663
2012-07-01,2012,1924523.2857142868,1248953.285714286,55391.85714285712,620178.1428571427,444954.9999999998,1.1428571428571426,97.1,95.6,99.6,99.9,23.12,0.0,64.9,2.88,32.23,Summer,1864959.428571428,Medium,-0.4999999999999997,-0.8660254037844388,0.0,1887841.2857142857,1913978.3333333337
2012-08-01,2012,1845142.2857142854,1197383.8571428573,52904.857142857145,594853.5714285711,425172.5714285713,1.9999999999999993,97.0,95.5,99.8,99.9,23.04,0.0,64.89,2.87,32.24,Summer,1755244.6428571427,Medium,-0.8660254037844385,-0.5000000000000004,0.0,1924523.2857142868,1885835.6190476194
2012-09-01,2012,1788490.8571428568,1178360.714285714,51526.14285714288,558603.9999999997,421778.42857142846,1.9999999999999996,96.7,95.1,99.8,99.9,23.58,0.0,65.89,2.88,31.23,Autumn,1768739.285714286,Low,-1.0,-1.8369701987210297e-16,0.0,1845142.2857142854,1852718.8095238097
2012-10-01,2012,1832304.2857142864,1214433.4285714284,53422.99999999999,564447.8571428569,446302.71428571426,0.0,96.2,94.4,99.6,99.9,24.36,0.0,66.28,2.92,30.81,Autumn,1825130.214285714,Low,-0.8660254037844386,0.5000000000000001,0.0,1788490.8571428568,1821979.1428571427
2012-11-01,2012,1755605.142857143,1167908.0000000002,51804.71428571426,535892.4285714286,435309.5714285716,0.9999999999999998,96.0,94.1,99.6,99.9,24.8,0.0,66.52,2.95,30.52,Autumn,1696234.1428571427,Medium,-0.5000000000000004,0.8660254037844384,0.0,1832304.2857142864,1792133.4285714284
2012-12-01,2012,1822425.5714285711,1202080.2857142861,47553.428571428565,572791.8571428573,451180.71428571426,13.714285714285708,94.7,92.0,99.7,99.8,24.76,0.001,65.96,2.61,31.43,Winter,1734893.5,Medium,-2.4492935982947064e-16,1.0,65.96,1755605.142857143,1803445.0000000002
2013-01-01,2013,1733118.4285714284,1149837.1428571434,49518.42857142858,533762.8571428573,437210.0000000002,49.57142857142854,94.5,91.9,99.7,99.8,25.23,0.003,66.34,2.86,30.8,Winter,1732657.3571428573,Low,0.49999999999999994,0.8660254037844387,66.34,1822425.5714285711,1770383.0476190476
2013-02-01,2013,1648748.4285714282,1085332.7142857139,48970.42857142856,514445.2857142857,404950.7142857142,17.285714285714278,94.3,91.4,99.5,99.8,24.56,0.001,65.83,2.97,31.2,Winter,1651797.8571428575,Low,0.8660254037844386,0.5000000000000001,65.83,1733118.4285714284,1734764.1428571425
2013-03-01,2013,1865084.142857143,1226196.4285714282,54219.000000000015,584668.7142857143,453638.2857142861,81.42857142857143,93.5,90.3,99.4,99.8,24.32,0.004,65.74,2.91,31.35,Spring,1898296.9285714284,Low,1.0,6.123233995736766e-17,0.0,1648748.4285714282,1748983.6666666667
2013-04-01,2013,1831420.4285714282,1199089.1428571427,54306.00000000003,578025.2857142854,429244.7142857144,43.000000000000014,93.4,90.1,99.4,99.8,23.44,0.002,65.47,2.97,31.56,Spring,1806949.071428571,Low,0.8660254037844387,-0.4999999999999998,0.0,1865084.142857143,1781750.9999999998
2013-05-01,2013,1891670.2857142868,1229747.4285714282,54728.57142857142,607194.2857142859,437698.1428571429,0.0,96.6,94.8,99.5,99.8,23.14,0.0,65.01,2.89,32.1,Spring,1901632.785714286,Low,0.49999999999999994,-0.8660254037844387,0.0,1831420.4285714282,1862724.9523809527
2013-06-01,2013,1831036.285714285,1191352.4285714286,54589.428571428565,585094.4285714285,423199.14285714267,6.999999999999997,96.9,95.4,99.6,99.9,23.11,0.0,65.06,2.98,31.95,Summer,1836629.2857142861,Low,1.2246467991473532e-16,-1.0,0.0,1891670.2857142868,1851375.6666666667
2013-07-01,2013,1976288.857142857,1281699.8571428573,55536.000000000015,639053.0,443851.1428571428,2.999999999999999,96.7,95.0,99.5,99.8,22.46,0.0,64.85,2.81,32.34,Summer,1894741.3571428573,Medium,-0.4999999999999997,-0.8660254037844388,0.0,1831036.285714285,1899665.142857143
2013-08-01,2013,1840591.1428571427,1189671.428571429,53239.14285714286,597680.5714285715,426908.9999999999,1.9999999999999996,96.3,94.3,99.7,99.9,23.19,0.0,64.64,2.89,32.47,Summer,1785210.5238095236,Medium,-0.8660254037844385,-0.5000000000000004,0.0,1976288.857142857,1882638.7619047614
2013-09-01,2013,1768748.7142857143,1156569.1428571425,52311.57142857146,559868.0000000001,427778.5714285715,8.999999999999995,95.8,93.6,99.7,99.9,24.19,0.001,65.39,2.96,31.65,Autumn,1775323.142857143,Low,-1.0,-1.8369701987210297e-16,0.0,1840591.1428571427,1861876.238095238
2013-10-01,2013,1829429.2857142847,1199258.5714285714,52705.285714285696,577465.4285714286,449631.2857142857,20.71428571428571,95.7,93.5,99.8,99.8,24.58,0.001,65.55,2.88,31.57,Autumn,1827521.5714285716,Low,-0.8660254037844386,0.5000000000000001,0.0,1768748.7142857143,1812923.0476190473
2013-11-01,2013,1733036.571428572,1139112.1428571423,50630.571428571435,543293.8571428569,441624.2857142856,7.2857142857142865,95.9,93.9,99.7,99.8,25.48,0.0,65.73,2.92,31.35,Autumn,1716024.476190476,Low,-0.5000000000000004,0.8660254037844384,0.0,1829429.2857142847,1777071.5238095236
2013-12-01,2013,1782029.1428571427,1172011.1428571427,47808.57142857141,562209.4285714288,462417.71428571426,20.85714285714286,95.3,92.9,99.8,99.8,25.95,0.001,65.77,2.68,31.55,Winter,1764070.857142857,Low,-2.4492935982947064e-16,1.0,65.77,1733036.571428572,1781498.333333333
2014-01-01,2014,1739538.8571428573,1142283.5714285716,51059.57142857143,546195.7142857143,457387.85714285733,42.14285714285716,95.2,92.7,99.7,99.9,26.29,0.002,65.67,2.94,31.4,Winter,1732811.0476190476,Low,0.49999999999999994,0.8660254037844387,65.67,1782029.1428571427,1751534.8571428573
2014-02-01,2014,1661814.4285714277,1084743.7142857143,47704.7142857143,529366.0,420487.14285714284,76.85714285714285,94.6,91.9,99.7,99.8,25.3,0.005,65.27,2.87,31.85,Winter,1650781.3809523813,Low,0.8660254037844386,0.5000000000000001,65.27,1739538.8571428573,1727794.1428571427
2014-03-01,2014,1957340.8571428587,1269436.142857143,55798.14285714286,632106.5714285715,467851.2857142859,9.714285714285719,95.6,93.4,99.6,99.8,23.9,0.0,64.86,2.85,32.29,Spring,1887226.0,Medium,1.0,6.123233995736766e-17,0.0,1661814.4285714277,1786231.3809523813
2014-04-01,2014,1877675.8571428566,1213065.8571428573,52033.71428571427,612576.2857142857,448681.57142857136,23.42857142857143,95.3,92.8,99.7,99.8,23.9,0.001,64.6,2.77,32.62,Spring,1815106.19047619,Medium,0.8660254037844387,-0.4999999999999998,0.0,1957340.8571428587,1832277.0476190478
2014-05-01,2014,1978028.4285714282,1287333.1428571427,54445.71428571429,636249.5714285718,466070.99999999965,10.0,94.8,92.2,99.6,99.8,23.56,0.001,65.08,2.75,32.17,Spring,1898311.9523809527,Medium,0.49999999999999994,-0.8660254037844387,0.0,1877675.8571428566,1937681.7142857146
2014-06-01,2014,1942267.999999999,1265211.142857143,54997.14285714282,622059.7142857142,450817.2857142855,8.285714285714283,95.2,92.8,99.5,99.7,23.21,0.0,65.14,2.83,32.03,Summer,1834764.9523809524,Medium,1.2246467991473532e-16,-1.0,0.0,1978028.4285714282,1932657.428571428
2014-07-01,2014,1993630.8571428566,1302588.4285714282,55792.57142857146,635249.857142857,463122.1428571426,5.428571428571428,95.2,92.7,99.4,99.8,23.23,0.0,65.34,2.8,31.86,Summer,1921923.8571428573,Medium,-0.4999999999999997,-0.8660254037844388,0.0,1942267.999999999,1971309.0952380945
2014-08-01,2014,1817309.9999999995,1188146.7142857146,53051.28571428572,576112.0000000001,441757.7142857144,8.285714285714285,95.1,92.7,99.6,99.8,24.31,0.0,65.38,2.92,31.7,Summer,1814613.9047619046,Low,-0.8660254037844385,-0.5000000000000004,0.0,1993630.8571428566,1917736.2857142852
2014-09-01,2014,1853285.7142857146,1221781.5714285716,52195.285714285725,579308.8571428573,446126.0000000001,28.142857142857146,94.6,92.0,99.5,99.7,24.07,0.002,65.93,2.82,31.26,Autumn,1779483.3809523808,Medium,-1.0,-1.8369701987210297e-16,0.0,1817309.9999999995,1888075.5238095236
2014-10-01,2014,1892374.0000000002,1250114.1428571434,54428.2857142857,587831.5714285716,469267.9999999998,54.85714285714285,93.7,90.6,99.7,99.7,24.8,0.003,66.06,2.88,31.06,Autumn,1836881.9999999998,Medium,-0.8660254037844386,0.5000000000000001,0.0,1853285.7142857146,1854323.238095238
2014-11-01,2014,1830460.2857142866,1205519.2857142857,52329.428571428565,572611.5714285714,464341.99999999977,35.00000000000001,93.5,90.2,99.4,99.7,25.37,0.002,65.86,2.86,31.28,Autumn,1743360.8571428573,Medium,-0.5000000000000004,0.8660254037844384,0.0,1892374.0000000002,1858706.666666667
2014-12-01,2014,1901226.9999999993,1241894.7142857136,47659.57142857144,611672.7142857146,484360.7142857144,186.42857142857142,89.9,84.8,99.6,99.5,25.48,0.01,65.32,2.51,32.17,Winter,1778833.5238095236,Medium,-2.4492935982947064e-16,1.0,65.32,1830460.2857142866,1874687.0952380951
2015-01-01,2015,1732066.9999999995,1124040.428571428,50900.42857142858,557126.1428571428,463400.8571428571,650.1428571428572,91.2,86.5,99.7,99.7,26.75,0.038,64.9,2.94,32.17,Winter,1736725.0952380951,Low,0.49999999999999994,0.8660254037844387,64.9,1901226.9999999993,1821251.4285714284
2015-02-01,2015,1654846.4285714282,1072451.571428571,48156.857142857145,534237.9999999998,424634.71428571414,183.85714285714295,92.0,87.8,99.6,99.7,25.66,0.011,64.81,2.91,32.28,Winter,1671598.19047619,Low,0.8660254037844386,0.5000000000000001,64.81,1732066.9999999995,1762713.4761904757
2015-03-01,2015,1942967.0000000005,1251324.8571428568,56383.00000000002,635259.1428571428,474940.71428571455,53.5714285714286,92.7,88.9,99.4,99.7,24.44,0.003,64.4,2.9,32.7,Spring,1918525.9523809527,Low,1.0,6.123233995736766e-17,0.0,1654846.4285714282,1776626.8095238095
2015-04-01,2015,1873167.7142857148,1206631.285714286,52365.71428571426,614170.7142857141,450253.4285714285,58.0,93.3,89.8,99.0,99.6,24.04,0.003,64.42,2.8,32.79,Spring,1826206.5238095233,Low,0.8660254037844387,-0.4999999999999998,0.0,1942967.0000000005,1823660.3809523813
2015-05-01,2015,1937468.8571428577,1254445.1428571427,54809.42857142856,628214.2857142863,468415.5714285715,46.00000000000003,94.3,91.4,99.1,99.6,24.18,0.002,64.75,2.83,32.42,Spring,1933089.7142857146,Low,0.49999999999999994,-0.8660254037844387,0.0,1873167.7142857148,1917867.8571428575
2015-06-01,2015,1911209.0,1249213.0,53398.00000000001,608598.0000000001,458790.0,24.999999999999986,94.8,92.3,99.6,99.6,24.01,0.001,65.36,2.79,31.84,Summer,1887048.5238095233,Low,1.2246467991473532e-16,-1.0,0.0,1937468.8571428577,1907281.8571428575
2015-07-01,2015,1952895.0,1271523.0,53417.0,627955.0,473914.0,22.0,95.0,92.5,99.1,99.7,24.27,0.001,65.11,2.74,32.16,Summer,1964814.3333333333,Low,-0.4999999999999997,-0.8660254037844388,0.0,1911209.0,1933857.6190476194
2015-08-01,2015,1865139.0,1215826.0,49458.0,599855.0,455432.0,28.0,94.3,91.4,99.5,99.7,24.42,0.002,65.19,2.65,32.16,Summer,1834347.809523809,Low,-0.8660254037844385,-0.5000000000000004,0.0,1952895.0,1909747.6666666667
2015-09-01,2015,1859979.0,1221594.0,50868.0,587517.0,464195.0,23.0,93.4,90.2,99.1,99.6,24.96,0.001,65.68,2.73,31.59,Autumn,1803508.4285714284,Medium,-1.0,-1.8369701987210297e-16,0.0,1865139.0,1892671.0
2015-10-01,2015,1923108.0,1261395.0,50275.0,611438.0,479987.0,58.0,92.3,88.6,98.9,99.5,24.96,0.003,65.59,2.61,31.79,Autumn,1851369.1904761903,Medium,-0.8660254037844386,0.5000000000000001,0.0,1859979.0,1882742.0
2015-11-01,2015,1874235.0,1236294.0,48306.0,589635.0,475564.0,29.0,91.3,87.0,99.0,99.6,25.37,0.002,65.96,2.58,31.46,Autumn,1773034.0000000007,Medium,-0.5000000000000004,0.8660254037844384,0.0,1923108.0,1885774.0
2015-12-01,2015,1867652.0,1232965.0,46148.0,588539.0,487798.0,29.0,91.0,86.6,99.3,99.6,26.12,0.002,66.02,2.47,31.51,Winter,1835227.2380952376,Low,-2.4492935982947064e-16,1.0,66.02,1874235.0,1888331.6666666667
2016-01-01,2016,1906920.42857143,1250005.0,47208.42857143,609707.0,484833.0,158.0,88.7,83.0,99.1,99.4,25.42,0.008,65.55,2.48,31.97,Winter,1734908.0952380951,Medium,0.49999999999999994,0.8660254037844387,65.55,1867652.0,1882935.80952381
2016-02-01,2016,1870776.0,1218372.0,48387.0,604017.0,462864.0,188.0,87.8,81.6,98.6,99.3,24.74,0.01,65.13,2.59,32.29,Winter,1655136.428571428,High,0.8660254037844386,0.5000000000000001,65.13,1906920.42857143,1881782.80952381
2016-03-01,2016,2087553.0,1350373.0,49906.0,687274.0,494076.0,349.0,87.3,80.8,98.9,99.0,23.67,0.017,64.69,2.39,32.92,Spring,1921797.333333334,Medium,1.0,6.123233995736766e-17,0.0,1870776.0,1955083.1428571434
2016-04-01,2016,1867781.0,1214057.0,50359.0,603365.0,460209.0,196.0,90.0,85.0,98.6,99.5,24.64,0.01,65.0,2.7,32.3,Spring,1860754.6666666663,Low,0.8660254037844387,-0.4999999999999998,0.0,2087553.0,1942036.6666666667
2016-05-01,2016,2070340.0,1353206.0,52180.0,664954.0,493191.0,107.0,90.3,85.4,98.9,99.5,23.82,0.005,65.36,2.52,32.12,Spring,1935722.5238095243,Medium,0.49999999999999994,-0.8660254037844387,0.0,1867781.0,2008558.0
2016-06-01,2016,1958802.0,1282499.0,52180.0,624123.0,480210.0,84.0,90.6,85.8,99.2,99.5,24.52,0.004,65.47,2.66,31.86,Summer,1894837.7619047612,Medium,1.2246467991473532e-16,-1.0,0.0,2070340.0,1965641.0
2016-07-01,2016,2079034.0,1353477.0,52961.0,672596.0,490221.0,113.0,90.3,85.4,99.0,99.5,23.58,0.005,65.1,2.55,32.35,Summer,1974271.5714285711,Medium,-0.4999999999999997,-0.8660254037844388,0.0,1958802.0,2036058.6666666667
2016-08-01,2016,1932901.0,1254439.0,52404.0,626058.0,470554.0,57.0,91.0,86.4,99.0,99.6,24.34,0.003,64.9,2.71,32.39,Summer,1841013.3809523806,Medium,-0.8660254037844385,-0.5000000000000004,0.0,2079034.0,1990245.6666666667
2016-09-01,2016,1952464.0,1277578.0,52521.0,622365.0,475808.0,86.0,90.6,86.0,99.2,99.5,24.37,0.004,65.43,2.69,31.88,Autumn,1827337.8095238097,Medium,-1.0,-1.8369701987210297e-16,0.0,1932901.0,1988133.0
2016-10-01,2016,2001816.0,1317571.0,51020.0,633225.0,492983.0,252.0,89.1,83.7,98.9,99.4,24.63,0.013,65.82,2.55,31.63,Autumn,1881637.0952380951,Medium,-0.8660254037844386,0.5000000000000001,0.0,1952464.0,1962393.6666666667
2016-11-01,2016,1907871.0,1258205.0,49979.0,599687.0,489326.0,457.0,88.4,82.7,99.4,99.5,25.65,0.024,65.95,2.62,31.43,Autumn,1812577.2857142861,Medium,-0.5000000000000004,0.8660254037844384,0.0,2001816.0,1954050.3333333333
2016-12-01,2016,1944567.0,1277133.0,45569.0,621865.0,497915.0,553.0,86.2,79.3,99.4,99.3,25.61,0.028,65.68,2.34,31.98,Winter,1850302.7142857139,Medium,-2.4492935982947064e-16,1.0,65.68,1907871.0,1951418.0
2017-01-01,2017,1895272.0,1237177.0,48039.0,610056.0,492273.0,989.0,85.1,77.6,99.2,99.3,25.97,0.052,65.28,2.53,32.19,Winter,1792842.0952380958,Medium,0.49999999999999994,0.8660254037844387,65.28,1944567.0,1915903.3333333333
2017-02-01,2017,1735619.0,1127909.0,45733.0,561977.0,447688.0,338.0,87.5,81.2,99.3,99.4,25.79,0.019,64.99,2.63,32.38,Winter,1729145.6190476187,Low,0.8660254037844386,0.5000000000000001,64.99,1895272.0,1858486.0
2017-03-01,2017,2015834.0,1309507.0,53355.0,652972.0,509805.0,270.0,90.0,85.1,98.7,99.2,25.29,0.013,64.96,2.65,32.39,Spring,1995953.6190476196,Low,1.0,6.123233995736766e-17,0.0,1735619.0,1882241.6666666667
2017-04-01,2017,1949762.0,1253743.0,47550.0,648469.0,471328.0,143.0,90.5,85.7,98.5,99.3,24.17,0.007,64.3,2.44,33.26,Spring,1872874.857142857,Medium,0.8660254037844387,-0.4999999999999998,0.0,2015834.0,1900405.0
2017-05-01,2017,2066789.0,1347297.0,51037.0,668455.0,505843.0,115.0,89.7,84.6,98.9,99.2,24.47,0.006,65.19,2.47,32.34,Spring,1995279.0952380951,Medium,0.49999999999999994,-0.8660254037844387,0.0,1949762.0,2010795.0
2017-06-01,2017,1994056.0,1296877.0,50612.0,646567.0,491206.0,55.0,90.7,86.1,99.2,99.3,24.63,0.003,65.04,2.54,32.42,Summer,1937426.333333333,Low,1.2246467991473532e-16,-1.0,0.0,2066789.0,2003535.6666666667
2017-07-01,2017,2073944.0,1348648.0,50369.0,674927.0,499259.0,74.0,90.3,85.5,99.0,99.3,24.07,0.004,65.03,2.43,32.54,Summer,2008519.9523809522,Medium,-0.4999999999999997,-0.8660254037844388,0.0,1994056.0,2044929.6666666667
2017-08-01,2017,1924663.0,1256655.0,47912.0,620096.0,486074.0,50.0,90.3,85.4,98.9,99.5,25.26,0.003,65.29,2.49,32.22,Summer,1871783.3333333333,Low,-0.8660254037844385,-0.5000000000000004,0.0,2073944.0,1997554.3333333333
2017-09-01,2017,1925961.0,1263957.0,47250.0,614754.0,486799.0,77.0,89.7,84.6,99.2,99.4,25.28,0.004,65.63,2.45,31.92,Autumn,1888576.238095238,Low,-1.0,-1.8369701987210297e-16,0.0,1924663.0,1974856.0
2017-10-01,2017,2044137.0,1325211.0,50198.0,668728.0,513217.0,57.0,89.9,84.8,99.3,99.4,25.11,0.003,64.83,2.46,32.71,Autumn,1939099.3333333333,Medium,-0.8660254037844386,0.5000000000000001,0.0,1925961.0,1964920.3333333333
2017-11-01,2017,1976971.0,1281913.0,48223.0,646835.0,513019.0,107.0,88.8,83.0,99.1,99.3,25.95,0.005,64.84,2.44,32.72,Autumn,1870855.4285714289,Medium,-0.5000000000000004,0.8660254037844384,0.0,2044137.0,1982356.3333333333
2017-12-01,2017,2003954.0,1289587.0,42158.0,672209.0,520803.0,517.0,85.0,77.3,99.2,98.9,25.99,0.026,64.35,2.1,33.54,Winter,1904481.9999999998,Medium,-2.4492935982947064e-16,1.0,64.35,1976971.0,2008354.0
2018-01-01,2018,2000086.0,1257026.0,49987.0,693073.0,526045.0,1054.0,85.3,77.2,99.0,99.1,26.3,0.053,62.85,2.5,34.65,Winter,1844753.142857143,Medium,0.49999999999999994,0.8660254037844387,62.85,2003954.0,1993670.3333333333
2018-02-01,2018,1820012.0,1151757.0,41902.0,626353.0,476867.0,369.0,85.0,76.9,98.6,99.1,26.2,0.02,63.28,2.3,34.41,Winter,1753747.1428571427,Medium,0.8660254037844386,0.5000000000000001,63.28,2000086.0,1941350.6666666667
2018-03-01,2018,2049785.0,1299796.0,46655.0,703334.0,526066.0,853.0,84.6,76.4,98.0,98.9,25.66,0.042,63.41,2.28,34.31,Spring,2015451.3333333333,Low,1.0,6.123233995736766e-17,0.0,1820012.0,1956627.6666666667
2018-04-01,2018,1984369.0,1246348.0,47256.0,690765.0,503393.0,356.0,88.6,82.3,97.7,99.3,25.37,0.018,62.81,2.38,34.81,Spring,1896903.5714285716,Medium,0.8660254037844387,-0.4999999999999998,0.0,2049785.0,1951388.6666666667
2018-05-01,2018,2164458.0,1354711.0,49219.0,760528.0,533457.0,106.0,90.4,85.1,98.6,99.2,24.65,0.005,62.59,2.27,35.14,Spring,2024865.9523809527,Medium,0.49999999999999994,-0.8660254037844387,0.0,1984369.0,2066204.0
2018-06-01,2018,2093942.0,1306739.0,49635.0,737568.0,513254.0,99.0,90.8,85.6,98.3,99.4,24.51,0.005,62.41,2.37,35.22,Summer,1954689.0,Medium,1.2246467991473532e-16,-1.0,0.0,2164458.0,2080923.0
